week,user_team,matchup,home_away
14,NE,BYE,BYE
15,NE,ARI,away
16,NE,BUF,away
17,NE,LAC,home
18,NE,BUF,home
1,NO,CAR,home
2,NO,DAL,away
3,NO,PHI,home
4,NO,ATL,away
5,NO,KC,away
6,NO,TB,home
7,NO,DEN,home
8,NO,LAC,away
9,NO,CAR,away
10,NO,ATL,home
11,NO,CLE,home
12,NO,BYE,BYE
13,NO,LAR,home
14,NO,NYG,away
15,NO,WSH,home
16,NO,GB,away
17,NO,LV,home
18,NO,TB,away
1,NYG,MIN,home
2,NYG,WSH,away
3,NYG,CLE,away
4,NYG,DAL,home
5,NYG,SEA,away
6,NYG,CIN,home
7,NYG,PHI,home
8,NYG,PIT,away
9,NYG,WSH,home
10,NYG,CAR,away
11,NYG,BYE,BYE
12,NYG,TB,home
13,NYG,DAL,away
14,NYG,NO,home
15,NYG,BAL,home
16,NYG,ATL,away
17,NYG,IND,home
18,NYG,PHI,away
1,NYJ,SF,away
2,NYJ,TEN,away
3,NYJ,NE,home
4,NYJ,DEN,home
5,NYJ,MIN,away
6,NYJ,BUF,home
7,NYJ,PIT,away
8,NYJ,NE,away
9,NYJ,HOU,home
10,NYJ,ARI,away
11,NYJ,IND,home
12,NYJ,BYE,BYE
13,NYJ,SEA,home
14,NYJ,MIA,away
15,NYJ,JAX,away
16,NYJ,LAR,home
17,NYJ,BUF,away
18,NYJ,MIA,home
1,PHI,GB,home
2,PHI,ATL,home
3,PHI,NO,away
4,PHI,TB,away
5,PHI,BYE,BYE
6,PHI,CLE,home
7,PHI,NYG,away
8,PHI,CIN,away
9,PHI,JAX,home
10,PHI,DAL,away
11,PHI,WSH,home
12,PHI,LAR,away
13,PHI,BAL,away
14,PHI,CAR,home
15,PHI,PIT,home
16,PHI,WSH,away
17,PHI,DAL,home
18,PHI,NYG,home
1,PIT,ATL,away
2,PIT,DEN,away
3,PIT,LAC,home
4,PIT,IND,away
5,PIT,DAL,home
6,PIT,LV,away
7,PIT,NYJ,home
8,PIT,NYG,home
9,PIT,BYE,BYE
10,PIT,WSH,away
11,PIT,BAL,home
12,PIT,CLE,away
13,PIT,CIN,away
14,PIT,CLE,home
15,PIT,PHI,away
16,PIT,BAL,away
17,PIT,KC,home
18,PIT,CIN,home
1,SEA,DEN,home
2,SEA,NE,away
3,SEA,MIA,home
4,SEA,DET,away
5,SEA,NYG,home
6,SEA,SF,home
7,SEA,ATL,away
8,SEA,BUF,home
9,SEA,LAR,home
10,SEA,BYE,BYE
11,SEA,SF,away
12,SEA,ARI,home
13,SEA,NYJ,away
14,SEA,ARI,away
15,SEA,GB,home
16,SEA,MIN,home
17,SEA,CHI,away
18,SEA,LAR,away
1,SF,NYJ,home
2,SF,MIN,away
3,SF,LAR,away
4,SF,NE,home
5,SF,ARI,home
6,SF,SEA,away
7,SF,KC,home
8,SF,DAL,home
9,SF,BYE,BYE
10,SF,TB,away
11,SF,SEA,home
12,SF,GB,away
13,SF,BUF,away
14,SF,CHI,home
15,SF,LAR,home
16,SF,MIA,away
17,SF,DET,home
18,SF,ARI,away
1,TB,WSH,home
2,TB,DET,away
3,TB,DEN,home
4,TB,PHI,home
5,TB,ATL,away
6,TB,NO,away
7,TB,BAL,home
8,TB,ATL,home
9,TB,KC,away
10,TB,SF,home
11,TB,BYE,BYE
12,TB,NYG,away
13,TB,CAR,away
14,TB,LV,home
15,TB,LAC,away
16,TB,DAL,away
17,TB,CAR,home
18,TB,NO,home
1,TEN,CHI,away
2,TEN,NYJ,home
3,TEN,GB,home
4,TEN,MIA,away
5,TEN,BYE,BYE
6,TEN,IND,home
7,TEN,BUF,away
8,TEN,DET,away
9,TEN,NE,home
10,TEN,LAC,away
11,TEN,MIN,home
12,TEN,HOU,away
13,TEN,WSH,away
14,TEN,JAX,home
15,TEN,CIN,home
16,TEN,IND,away
17,TEN,JAX,away
18,TEN,HOU,home
1,WSH,TB,away
2,WSH,NYG,home
3,WSH,CIN,away
4,WSH,ARI,away
5,WSH,CLE,home
6,WSH,BAL,away
7,WSH,CAR,home
8,WSH,CHI,home
9,WSH,NYG,away
10,WSH,PIT,home
11,WSH,PHI,away
12,WSH,DAL,home
13,WSH,TEN,home
14,WSH,BYE,BYE
15,WSH,NO,away
16,WSH,PHI,home
17,WSH,ATL,home
18,WSH,DAL,away
