week,user_team,matchup,home_away
17,JAX,WSH,home
18,JAX,IND,away
1,KC,DEN,home
2,KC,IND,home
3,KC,MIA,away
4,KC,LV,away
5,KC,BYE,BYE
6,KC,LAC,home
7,KC,SEA,away
8,KC,DEN,away
9,KC,NYJ,home
10,KC,ATL,away
11,KC,ARI,home
12,KC,BUF,away
13,KC,LAR,away
14,KC,CIN,away
15,KC,NE,home
16,KC,SF,home
17,KC,LAC,away
18,KC,LV,home
1,LAC,ARI,home
2,LAC,LV,home
3,LAC,BUF,away
4,LAC,SEA,away
5,LAC,DEN,home
6,LAC,KC,away
7,LAC,BYE,BYE
8,LAC,LAR,away
9,LAC,HOU,home
10,LAC,BAL,away
11,LAC,NYJ,home
12,LAC,NE,home
13,LAC,TB,away
14,LAC,LV,away
15,LAC,SF,home
16,LAC,MIA,away
17,LAC,KC,home
18,LAC,DEN,away
1,LAR,SF,home
2,LAR,NYG,home
3,LAR,DEN,away
4,LAR,PHI,away
5,LAR,BUF,home
6,LAR,ARI,home
7,LAR,LV,away
8,LAR,LAC,home
9,LAR,WSH,away
10,LAR,ARI,away
11,LAR,BYE,BYE
12,LAR,GB,home
13,LAR,KC,home
14,LAR,SF,away
15,LAR,DAL,home
16,LAR,SEA,away
17,LAR,TB,away
18,LAR,SEA,home
1,LV,MIA,home
2,LV,LAC,away
3,LV,NO,away
4,LV,KC,home
5,LV,NE,away
6,LV,BUF,home
7,LV,LAR,home
8,LV,NYJ,away
9,LV,SF,away
10,LV,SEA,home
11,LV,DEN,away
12,LV,CLE,away
13,LV,BYE,BYE
14,LV,LAC,home
15,LV,DEN,home
16,LV,TEN,home
17,LV,ARI,away
18,LV,KC,away
1,MIA,LV,away
2,MIA,SF,away
3,MIA,KC,home
4,MIA,MIN,away
5,MIA,CIN,home
6,MIA,BYE,BYE
7,MIA,NYJ,away
8,MIA,NE,home
9,MIA,DET,home
10,MIA,IND,away
11,MIA,BUF,away
12,MIA,NYJ,home
13,MIA,DEN,away
14,MIA,CHI,home
15,MIA,GB,away
16,MIA,LAC,home
17,MIA,BUF,home
18,MIA,NE,away
1,MIN,GB,home
2,MIN,CHI,away
3,MIN,TB,away
4,MIN,MIA,home
5,MIN,NO,away
6,MIN,BYE,BYE
7,MIN,IND,home
8,MIN,DET,away
9,MIN,BUF,home
10,MIN,GB,away
11,MIN,SF,away
12,MIN,ATL,home
13,MIN,CAR,home
14,MIN,NE,away
15,MIN,DET,home
16,MIN,WSH,home
17,MIN,NYJ,away
18,MIN,CHI,home
1,NE,SEA,away
2,NE,PIT,home
3,NE,JAX,away
4,NE,BUF,away
5,NE,LV,home
6,NE,NYJ,home
7,NE,CHI,away
8,NE,MIA,away
9,NE,GB,home
10,NE,DET,away
11,NE,BYE,BYE
12,NE,LAC,away
13,NE,BUF,home
14,NE,MIN,home
15,NE,KC,away
16,NE,NYJ,away
17,NE,DEN,home
18,NE,MIA,home
1,NO,DET,away
2,NO,BAL,away
3,NO,LV,home
4,NO,ATL,home
5,NO,MIN,home
6,NO,NYG,away
7,NO,PIT,home
8,NO,BYE,BYE
9,NO,CLE,home
10,NO,CAR,home
11,NO,CHI,away
12,NO,CIN,away
13,NO,GB,home
14,NO,CAR,away
15,NO,TB,away
16,NO,ARI,home
17,NO,ATL,away
18,NO,TB,home
1,NYG,DAL,home
2,NYG,LAR,away
3,NYG,TEN,home
4,NYG,ARI,home
5,NYG,WSH,away
6,NYG,NO,home
7,NYG,HOU,away
8,NYG,BYE,BYE
9,NYG,PHI,away
10,NYG,WSH,home
11,NYG,JAX,home
12,NYG,IND,away
13,NYG,SF,home
14,NYG,SEA,away
15,NYG,CLE,home
16,NYG,DET,away
17,NYG,DAL,away
18,NYG,PHI,home
1,NYJ,TEN,away
2,NYJ,GB,home
3,NYJ,DET,away
4,NYJ,CHI,away
5,NYJ,CLE,home
6,NYJ,NE,away
7,NYJ,MIA,home
8,NYJ,LV,home
9,NYJ,KC,away
10,NYJ,BUF,home
11,NYJ,LAC,away
12,NYJ,MIA,away
13,NYJ,BYE,BYE
14,NYJ,DEN,home
15,NYJ,ARI,away
16,NYJ,NE,home
17,NYJ,MIN,home
18,NYJ,BUF,away
1,PHI,WSH,home
2,PHI,TEN,away
3,PHI,CHI,away
4,PHI,LAR,home
5,PHI,JAX,away
6,PHI,CAR,home
7,PHI,DAL,home
8,PHI,WSH,away
9,PHI,NYG,home
10,PHI,BYE,BYE
11,PHI,PIT,home
12,PHI,DAL,away
13,PHI,ARI,away
14,PHI,IND,home
15,PHI,SEA,home
16,PHI,HOU,home
17,PHI,SF,away
18,PHI,NYG,away
1,PIT,ATL,home
2,PIT,NE,away
3,PIT,CIN,home
4,PIT,CLE,away
5,PIT,IND,home
6,PIT,TB,away
7,PIT,NO,away
8,PIT,CLE,home
9,PIT,BYE,BYE
10,PIT,CIN,away
11,PIT,PHI,away
12,PIT,DEN,home
13,PIT,HOU,home
14,PIT,JAX,away
15,PIT,BAL,home
16,PIT,CAR,home
17,PIT,TEN,away
18,PIT,BAL,away
1,SEA,NE,home
2,SEA,ARI,away
3,SEA,WSH,away
4,SEA,LAC,home
5,SEA,SF,home
6,SEA,DEN,away
7,SEA,KC,home
8,SEA,CHI,home
9,SEA,ARI,home
10,SEA,LV,away
11,SEA,BYE,BYE
12,SEA,SF,away
13,SEA,DAL,home
14,SEA,NYG,home
15,SEA,PHI,away
16,SEA,LAR,home
17,SEA,CAR,away
18,SEA,LAR,away
1,SF,LAR,away
2,SF,MIA,home
3,SF,ARI,home
4,SF,DEN,home
5,SF,SEA,away
6,SF,WSH,home
7,SF,ATL,away
8,SF,BYE,BYE
9,SF,LV,home
10,SF,DAL,away
11,SF,MIN,home
12,SF,SEA,home
13,SF,NYG,away
14,SF,LAR,home
15,SF,LAC,away
16,SF,KC,away
17,SF,PHI,home
18,SF,ARI,away
1,TB,CIN,away
2,TB,CLE,home
3,TB,MIN,home
4,TB,GB,home
5,TB,DAL,away
6,TB,PIT,home
7,TB,CAR,away
8,TB,ATL,home
9,TB,CHI,away
10,TB,BYE,BYE
11,TB,DET,away
12,TB,CAR,home
13,TB,LAC,home
14,TB,BAL,away
15,TB,NO,home
16,TB,ATL,away
17,TB,LAR,home
18,TB,NO,away
1,TEN,NYJ,home
2,TEN,PHI,home
3,TEN,NYG,away
4,TEN,BAL,away
5,TEN,HOU,home
6,TEN,IND,away
7,TEN,CLE,home
8,TEN,CIN,away
9,TEN,BYE,BYE
10,TEN,JAX,home
11,TEN,DAL,away
12,TEN,JAX,away
13,TEN,WSH,home
14,TEN,DET,away
15,TEN,IND,home
16,TEN,LV,away
17,TEN,PIT,home
18,TEN,HOU,away
1,WSH,PHI,away
2,WSH,DAL,away
3,WSH,SEA,home
4,WSH,IND,home
5,WSH,NYG,home
6,WSH,SF,away
7,WSH,BYE,BYE
8,WSH,PHI,home
9,WSH,LAR,home
10,WSH,NYG,away
11,WSH,CIN,home
12,WSH,ARI,away
13,WSH,TEN,away
14,WSH,HOU,home
15,WSH,ATL,home
16,WSH,MIN,away
17,WSH,JAX,away
18,WSH,DAL,home
